toxin,replicate,score,numFeatures
ana,4,0.2110262373455305,30
ana,5,0.21213490468405705,30
ana,6,0.20955949037205968,30
ana,7,0.2098173086108951,30
ana,8,0.2121158912570602,30
ana,9,0.21077139141484813,30
ana,0,0.183192641664094,29
ana,1,0.18664143951740786,29
ana,2,0.18673600693085635,29
ana,3,0.1930818586571853,29
ana,4,0.18377094903319724,29
ana,5,0.18950463023143138,29
ana,6,0.187517318518309,29
ana,7,0.1862945235540826,29
ana,8,0.18538241024276225,29
ana,9,0.19187402226736805,29
ana,0,0.19303718311822515,28
ana,1,0.21615438799292952,28
ana,2,0.1956907436663552,28
ana,3,0.19272127590822863,28
ana,4,0.19306949267304885,28
ana,5,0.19508455419136506,28
ana,6,0.19049810578444992,28
ana,7,0.19214544644309384,28
ana,8,0.19146351078730683,28
ana,9,0.1925627623819408,28
ana,0,0.2049810335144041,27
ana,1,0.2032987328874989,27
ana,2,0.2068975769911141,27
ana,3,0.20219078042027794,27
ana,4,0.2236610002849999,27
ana,5,0.20707908551762566,27
ana,6,0.20347387181549503,27
ana,7,0.2054101341303931,27
ana,8,0.20375005690656778,27
ana,9,0.20485739527432534,27
ana,0,0.18625959561085026,26
ana,1,0.1913325958680575,26
ana,2,0.20444652902771832,26
ana,3,0.20565110680890952,26
ana,4,0.1874847348134876,26
ana,5,0.18727042869521726,26
ana,6,0.18564509537046792,26
ana,7,0.18399931685959015,26
ana,8,0.18846144146977994,26
ana,9,0.19115546503668646,26
ana,0,0.193641419476144,25
ana,1,0.19164718892026478,25
ana,2,0.19257123892888228,25
ana,3,0.1936953893140484,25
ana,4,0.1893925441325457,25
ana,5,0.1892352825125525,25
ana,6,0.19048460837842085,25
ana,7,0.18924638241397673,25
ana,8,0.21016051981314032,25
ana,9,0.18937628867654366,25
ana,0,0.1976265712144042,24
ana,1,0.2010617543071036,24
ana,2,0.22187166820617987,24
ana,3,0.20727583290941576,24
ana,4,0.20317997986508973,24
ana,5,0.20083292632247518,24
ana,6,0.20438604422559659,24
ana,7,0.20194887050928645,24
ana,8,0.20559940724001236,24
ana,9,0.2036383169742485,24
ana,0,0.21443332588850228,23
ana,1,0.21519777954778385,23
ana,2,0.21601099503586219,23
ana,3,0.2172651468894733,23
ana,4,0.21533112389099052,23
ana,5,0.23494719565916233,23
ana,6,0.21467823339602699,23
ana,7,0.21305242268235303,23
ana,8,0.21459764435559414,23
ana,9,0.2129652961604147,23
ana,0,0.19995257618802342,22
ana,1,0.19994033528172095,22
ana,2,0.20033324664344132,22
ana,3,0.1947078929471413,22
ana,4,0.19995056506968878,22
ana,5,0.20207771387824014,22
ana,6,0.2004347882557027,22
ana,7,0.1989567124382443,22
ana,8,0.20040346420724964,22
ana,9,0.20116713088278704,22
ana,0,0.1936810242011433,21
ana,1,0.19338026815629095,21
ana,2,0.19323496710730437,21
ana,3,0.19287431554419832,21
ana,4,0.1924611142721585,21
ana,5,0.19526054813561255,21
ana,6,0.188165680228355,21
ana,7,0.19442549730355774,21
ana,8,0.19109980464131138,21
ana,9,0.189419583528893,21
ana,0,0.1986342945014471,20
ana,1,0.20125328615531057,20
ana,2,0.20086234822866977,20
ana,3,0.20216646455556997,20
ana,4,0.19714917271180932,20
ana,5,0.19789310855004438,20
ana,6,0.19887749600053883,20
ana,7,0.19916161228292695,20
ana,8,0.1993954835103121,20
ana,9,0.1966999021313165,20
ana,0,0.19754057971940597,19
ana,1,0.19641237864004157,19
ana,2,0.2001829629609081,19
ana,3,0.19888078231144024,19
ana,4,0.19902093440026913,19
ana,5,0.19849650783742168,19
ana,6,0.19860644923849768,19
ana,7,0.19684977827974137,19
ana,8,0.19602456956813163,19
ana,9,0.2025019947209018,19
ana,0,0.1692180487980517,18
ana,1,0.1706514982706263,18
ana,2,0.1709530440867416,18
ana,3,0.17249509098830873,18
ana,4,0.19142709538227654,18
ana,5,0.17950996219322624,18
ana,6,0.17393616005851253,18
ana,7,0.17999663921492404,18
ana,8,0.17858451762732142,18
ana,9,0.17648883302460572,18
ana,0,0.19990350138525526,17
ana,1,0.21637330005375577,17
ana,2,0.20335825355183412,17
ana,3,0.2123201281650413,17
ana,4,0.1980724272793547,17
ana,5,0.19858917912268714,17
ana,6,0.19823850379830088,17
ana,7,0.19959077171778006,17
ana,8,0.2034247628085457,17
ana,9,0.20070118563518557,17
ana,0,0.19298635414317433,16
ana,1,0.1965859961853551,16
ana,2,0.2144095295859244,16
ana,3,0.1936640570845185,16
ana,4,0.19067768274410868,16
ana,5,0.19690021308181815,16
ana,6,0.19390233029249948,16
ana,7,0.1990094840957527,16
ana,8,0.19017591938761114,16
ana,9,0.1976301851382002,16
ana,0,0.1949417569874119,15
ana,1,0.2013626042363612,15
ana,2,0.19039905995294837,15
ana,3,0.19317452953570313,15
ana,4,0.1847586504075045,15
ana,5,0.20289799964938937,15
ana,6,0.19314112944363804,15
ana,7,0.1920461333413387,15
ana,8,0.19722794817657185,15
ana,9,0.21484993969639565,15
ana,0,0.19994582171831954,14
ana,1,0.20430645317764895,14
ana,2,0.1958891227074514,14
ana,3,0.1989660730002072,14
ana,4,0.18391283391472124,14
ana,5,0.20369662954962864,14
ana,6,0.1995201006751799,14
ana,7,0.19521972139147903,14
ana,8,0.19662618834647416,14
ana,9,0.19454563099918032,14
ana,0,0.20030723518996352,13
ana,1,0.20790997875637163,13
